Date,Open,High,Low,Close,Volume
01/01/2026 15:30:00,993.5,997.55,989.5,991.15,7132074
02/01/2026 15:30:00,991.15,1003.2,988.8,1001.6,11751459
05/01/2026 15:30:00,1005.75,1006.4,976.3,977.5,27647379
06/01/2026 15:30:00,962.7,966.7,956,962.2,31988783
07/01/2026 15:30:00,956,956.45,946,949.05,52884712
08/01/2026 15:30:00,944.7,953,941.4,946.7,21928849
09/01/2026 15:30:00,945,950.6,933.3,939,38183839
12/01/2026 15:30:00,937.5,942,929.6,936.95,21071666
13/01/2026 15:30:00,947.7,947.7,932.6,937.35,32042827
14/01/2026 15:30:00,930,940.05,920.2,925.45,36688248
16/01/2026 15:30:00,922,935.95,919.2,931.1,37780235
19/01/2026 15:30:00,935.9,936.15,919.5,927.9,38191942
20/01/2026 15:30:00,929.3,934.5,919.6,931.2,36022727
21/01/2026 15:30:00,925,932.15,915.5,920.35,32766854
22/01/2026 15:30:00,928,928.3,913.2,918.7,44444755
23/01/2026 15:30:00,920,926.1,909.25,916.1,30985247
27/01/2026 15:30:00,906,931.2,905,926.4,44753093
28/01/2026 15:30:00,932.5,941.45,928.4,932.7,35347138
29/01/2026 15:30:00,930.1,939.3,924.35,935.5,37175628
30/01/2026 15:30:00,930,938.9,927.75,929.25,29691233
02/02/2026 15:30:00,915,929.8,909.3,928.1,28032106
03/02/2026 15:30:00,983.75,994,945,948.7,50336968
04/02/2026 15:30:00,952.5,957.2,947.95,953.1,24366770
05/02/2026 15:30:00,956,956.05,946.7,949.7,28103169
06/02/2026 15:30:00,945,948.1,937.6,941.1,18120272
09/02/2026 15:30:00,945,950,935.35,937.25,23947829
10/02/2026 15:30:00,930,940.9,929.95,932.4,31525385
11/02/2026 15:30:00,931.25,936,925.3,927.1,24869804
12/02/2026 15:30:00,927,928.6,918.5,920.6,33872203
13/02/2026 15:30:00,913,928.2,901,903.9,50188359
16/02/2026 15:30:00,903.9,929.5,902.1,925.8,18806989
17/02/2026 15:30:00,923,928.1,918.6,925.7,22599629
18/02/2026 15:30:00,923.2,925.5,919.55,924.7,12738702
19/02/2026 15:30:00,929,929.2,912.45,915.6,21209234
20/02/2026 15:30:00,911,917.85,908.4,911.85,22654907
23/02/2026 15:30:00,916.5,925.65,915.25,923.6,23270122
24/02/2026 15:30:00,927.95,927.95,909.15,910.5,31313985
25/02/2026 15:30:00,910.55,916,903.1,907.6,27884303
26/02/2026 15:30:00,912,912,895,898.6,41165937
27/02/2026 15:30:00,898.6,898.95,885,887.75,34620755
02/03/2026 15:30:00,876.2,887.75,871.55,879.4,38378924
04/03/2026 15:30:00,848,879.3,848,869,39862322
05/03/2026 15:30:00,873.85,881.4,863.5,877.75,31324582
06/03/2026 15:30:00,868.05,871.7,855.1,857.05,34439647
09/03/2026 15:30:00,825,842.45,821.5,840.7,35592613
10/03/2026 15:30:00,850.05,856.8,840.6,849.45,52866024
11/03/2026 15:30:00,845,848.85,827.6,833.95,42261076
12/03/2026 15:30:00,820.1,836.4,820.1,832.75,46107561
13/03/2026 15:30:00,820,823.8,812,817,41700464
16/03/2026 15:30:00,817,844.5,815.65,840.6,52182605
17/03/2026 15:30:00,847.7,848.9,835.1,845.35,38826979
18/03/2026 15:30:00,845.35,846.8,831.6,843.05,23507063
19/03/2026 15:30:00,770,815.65,770,798.2,171637393
20/03/2026 15:30:00,785,793.75,778.2,780.45,103129469
23/03/2026 15:30:00,763.15,768.7,741.05,744.15,72341738
24/03/2026 15:30:00,755,772.75,747.7,764.9,61269986
25/03/2026 15:30:00,768.2,794.8,768.2,782.3,59230640
27/03/2026 15:30:00,773.2,774.9,754.55,756.2,65485199
30/03/2026 15:30:00,745.2,751,726.65,731.55,103500135
01/04/2026 15:30:00,743,755.9,739.1,742.25,78862761
02/04/2026 15:30:00,730,755,726.65,750.9,49310300
06/04/2026 15:30:00,759,772.75,745,771,42976659
07/04/2026 15:30:00,766,774,761,772,51309793
08/04/2026 15:30:00,800,817.8,796,816.1,70269512
09/04/2026 15:30:00,815,819,793.1,797.7,48879392
10/04/2026 15:30:00,804,812.25,801,810.3,38156026
13/04/2026 15:30:00,791.5,798.5,787.35,794.7,47549328
15/04/2026 15:30:00,804.95,814.8,804,809.9,39769515
16/04/2026 15:30:00,818,820.05,792.2,795.45,62861293
17/04/2026 15:30:00,790.1,803.95,788.2,799.9,37282544
20/04/2026 15:30:00,797.1,809.95,790,795.45,52148044
21/04/2026 15:30:00,795.2,814.9,795.2,811.75,49135752
22/04/2026 15:30:00,810,813.05,798,799.9,23876412
23/04/2026 15:30:00,792,796.65,782.5,784.35,37677616
24/04/2026 15:30:00,777.3,787.6,777,784.85,27720358
27/04/2026 15:30:00,787.5,793,785,789.8,18115375
28/04/2026 15:30:00,785,794.5,778.3,782.55,35366803
29/04/2026 15:30:00,785.5,790,777.35,779,25799963
30/04/2026 15:30:00,770,778.8,762.25,771.7,47998755
04/05/2026 15:30:00,772.6,786.6,772.6,779.4,29028060
05/05/2026 15:30:00,774.4,776.9,763.7,772.3,38887657
06/05/2026 15:30:00,775.15,798.95,773.5,796.55,35530831
07/05/2026 15:30:00,794,801.55,788.55,796.05,46137553
08/05/2026 15:30:00,784,788.75,777.2,780.85,38016841
11/05/2026 15:30:00,771.95,774.85,761.9,763.65,41123422
12/05/2026 15:30:00,756.6,759.7,747.8,750.45,43937132
13/05/2026 15:30:00,752,759.95,747.35,749.6,28960919
14/05/2026 15:30:00,751,778.3,747,769.55,50992358
15/05/2026 15:30:00,773,781.9,765.4,767.5,24347873
18/05/2026 15:30:00,759,774.1,751.35,768.65,29812079
19/05/2026 15:30:00,766.7,770.8,760.25,762.45,40307830
20/05/2026 15:30:00,759.6,762.25,755.15,759.5,24013451
21/05/2026 15:30:00,767,768.25,755.15,759.15,34664725
22/05/2026 15:30:00,759.15,775,759.15,766.8,25604071
25/05/2026 15:30:00,776,787.85,775.2,786.85,26043952
26/05/2026 15:30:00,784.05,790.85,776.75,778.9,31528062
27/05/2026 15:30:00,769.5,773.9,756.9,758.65,63680153
29/05/2026 15:30:00,746.05,760.5,737.75,744.55,101299431
01/06/2026 15:30:00,749,752.35,739.2,742.7,47996441
02/06/2026 15:30:00,737,753.6,733.15,748.25,47314447
03/06/2026 15:30:00,744.45,756.9,742.6,753.65,36109480
04/06/2026 15:30:00,749.15,757.3,745,754.2,42673538
05/06/2026 15:30:00,753.95,758.7,744.65,747.05,22116568
08/06/2026 15:30:00,738,741.5,734.5,738.65,21550700
09/06/2026 15:30:00,739.45,743.95,732.3,738.35,38539563
10/06/2026 15:30:00,736.5,755.95,736.4,746.85,44458159
11/06/2026 15:30:00,743,756,740.1,744.6,32632007
12/06/2026 15:30:00,754.7,774.45,753.1,772.45,36088159
15/06/2026 15:30:00,790,793.5,775.6,777.35,39990334
16/06/2026 15:30:00,780.5,787.7,779.45,784.9,27820970
17/06/2026 15:30:00,787.65,794.3,783.1,787.1,32405604
18/06/2026 15:30:00,786.5,802.95,786.2,799,41492071
19/06/2026 15:30:00,788.7,789.05,776.2,779.8,33798761
22/06/2026 15:30:00,789.9,789.9,783.1,786.4,25194765
23/06/2026 15:30:00,783.05,790.9,772.55,774.65,28289062
24/06/2026 15:30:00,773,794.9,772.65,793.2,34701292
25/06/2026 15:30:00,798.5,804.45,794.75,796.3,46707966
29/06/2026 15:30:00,800,805.9,793.3,798.9,46695977
30/06/2026 15:30:00,806.1,806.1,792.75,797.95,45778356
01/07/2026 15:30:00,793.5,802.25,793.5,796.15,26094378
02/07/2026 15:30:00,795,805.45,794,795.9,34143823
03/07/2026 15:30:00,803,807,798.55,801.05,25871958
06/07/2026 15:30:00,805,831.5,805,829.85,63203327
07/07/2026 15:30:00,843,843,826.1,829.3,57611729
08/07/2026 15:30:00,825.9,834.35,806.95,810.3,38754632
09/07/2026 15:30:00,813,822.85,812.3,817.55,39891798
10/07/2026 15:30:00,824,827.7,820.3,824.95,23595785
13/07/2026 15:30:00,817,821.95,811,817.95,21741736
14/07/2026 15:30:00,811.4,818.4,807,809.4,25605395
15/07/2026 15:30:00,811,819.7,809.7,815.45,21488739
16/07/2026 15:30:00,814.5,818,806.5,808.3,18698186
17/07/2026 15:30:00,810,823.7,808.5,819.6,17415322
20/07/2026 15:30:00,790,790,774.55,777.6,56061789
21/07/2026 15:30:00,769.15,772.5,760.1,761.45,42246009
22/07/2026 15:30:00,760.25,761.35,750.35,753.15,23385446
23/07/2026 15:30:00,749.4,751,743.25,747.25,32532090
24/07/2026 15:30:00,738.5,748.25,737.25,742.8,23837859
27/07/2026 15:30:00,746.1,747.95,738.1,739.55,29678752
28/07/2026 15:30:00,732,740.25,732,735.4,33886037
29/07/2026 15:30:00,743,751.25,740.8,748.2,20460659
30/07/2026 15:30:00,752.8,757.9,745.5,753.95,35844392
31/07/2026 15:30:00,753.95,757.55,747.2,748.15,25522483
03/08/2026 15:30:00,753.05,756.85,750.05,753,14827841
04/08/2026 15:30:00,753.2,753.2,738,742,31559802
05/08/2026 15:30:00,733.8,741.95,732.6,735,60050538
06/08/2026 15:30:00,739,740.5,733.55,734.3,44772122
07/08/2026 15:30:00,733,736,728.2,731,19382042
10/08/2026 15:30:00,731.5,737.55,728.5,731,23660590
11/08/2026 15:30:00,730.5,730.85,726.55,729,29154365
12/08/2026 15:30:00,729,730.65,722,729,26993177
13/08/2026 15:30:00,726.9,729,724.5,725,22129893
14/08/2026 15:30:00,725,729.6,723.5,727,20364131
17/08/2026 15:30:00,727.05,732.1,724.5,729,14823722
18/08/2026 15:30:00,726.3,729,723,723,17916507
19/08/2026 15:30:00,724,725.4,715.1,720,21342651
20/08/2026 15:30:00,725.5,728.3,724.3,725.05,17603805
21/08/2026 15:30:00,728.3,732.8,726.6,726.95,26029811
24/08/2026 15:30:00,732.5,734.4,724.1,729,11408345
25/08/2026 15:30:00,726.6,728.7,722,727.5,17511874
26/08/2026 15:30:00,728,731,724.15,727.2,21156463
